CO2,Humidity_in,Temp_in,Temp_out,Humidity_out,Wind Speed,y
909.7,45.67,84.596,72.9,39,4.4,1
3652.3,71.72,86.504,72.9,39,3,6
1717.6,58.63,86.144,72.1,39,3.4,4
1360.1,55.98,85.424,72.3,39,2,3
859.5,50.33,84.272,72.2,39,2.7,1
2693,67.09,86.36,72.1,40,2.7,5
1115.6,53.57,84.722,72.2,40,1.7,2
2367.6,62.68,84.902,65.4,41,2.7,3
1396.4,56.23,82.454,65.8,41,2.4,2
920.1,50.29,80.672,66.3,41,3.2,1
1307.4,62.18,83.966,67.7,42,5.2,4
2267.1,81.74,84.794,68.5,43,6.3,7
1900.9,75.27,84.596,68.3,43,4.8,6
1525.4,67.22,84.29,68.2,43,5.9,5
1068.1,56.48,83.678,67.6,43,3.5,3
910.4,53.19,83.48,67.8,43,4.1,2
2503.2,86.2,85.01,68.6,44,7.4,8
833.1,50.6,83.318,67.6,44,4.2,1
2604.9,81.95,89.186,80.6,45,2.6,9
1560.3,58.5,84.812,75.9,45,2.9,4
1177.2,55.52,84.542,76.1,45,3.9,3
2603.1,59.73,84.614,73.5,46,4.6,4
2227.5,78.91,88.736,80.5,46,2.7,8
1847.2,75.52,88.322,80.4,46,2.7,7
2146.7,61.79,85.064,75.3,46,3.6,5
1469.8,53.42,84.362,72.5,47,2.3,3
3040.5,65.51,85.316,74.9,47,3.8,6
1060.3,54.46,84.38,75,47,4.8,2
897.6,52.44,84.362,74.9,47,4.8,1
2384.5,88.2,84.29,65.5,48,4.5,7
1048.4,49.67,83.912,72.8,48,2.5,2
901.3,48.14,83.642,72.4,48,1.6,1
1564.9,72.49,87.98,78.9,48,4.9,6
3625.7,67.87,85.388,75.1,48,2.8,7
2132.6,77.28,89.24,80.4,48,3.2,11
1928.9,74.94,89.168,80.7,48,2.7,10
1582.5,70.82,88.7,80.5,48,3.2,9
3358.1,90.98,86.648,70.4,48,1.8,6
1456.7,77.05,84.614,70.3,48,2.9,3
1240.3,73.4,83.984,70.1,48,1.6,2
1671.7,61.29,79.97,64.8,49,1.9,5
2905.1,92.77,84.56,65.6,49,3.6,8
1826.1,78.48,83.966,65,49,5.2,6
1508.9,72.24,83.642,64.5,49,4.9,5
1260.5,66.4,83.408,64.6,49,5.2,4
811.9,56.58,82.742,64,49,5.7,1
878,47.73,82.238,71.5,49,3.2,1
1308.2,68.98,87.674,78.5,49,3,5
1459.5,68.96,88.304,80.3,49,2.4,8
1343.3,67.81,88.016,80.2,49,3.8,7
1209.5,66.64,87.71,80,49,2.8,6
1123.6,68.11,87.584,80.2,49,2.5,5
884.3,63.98,87.26,79.7,49,2.4,2
831.4,62.62,87.116,79.7,49,2.1,1
948.2,48.38,77.882,61.1,49,6,1
2551.1,87.28,86.288,70.7,49,2.6,5
1700.7,80.04,85.406,70.4,49,1.9,4
913.9,68.09,83.246,69.8,49,2.7,1
2890.3,72.25,80.186,64.3,50,2.6,6
1032.9,59.75,83.12,64.5,50,3.7,3
907.1,57.36,82.868,64.3,50,4.9,2
1114.3,49.95,82.49,71.3,50,4.7,2
1203.8,67.72,87.62,78.9,50,4.3,4
1030.3,66.01,87.44,80,50,2.2,4
941.6,65,87.35,79.9,50,3,3
1715,56.63,78.638,61.1,50,6.8,4
1484.9,54.08,78.494,60.8,50,7.1,3
1198.4,51.12,78.188,61,50,6,2
3380.4,74.85,80.222,63.6,51,2.1,7
1174.5,55.11,79.61,65,51,3.4,4
876.2,46.34,78.998,63,51,5.8,1
2968.7,64.46,83.354,71.2,51,3.2,5
1975,57.38,83.174,71.2,51,3.6,4
1420.4,52.57,82.796,71.3,51,3.8,3
1098.8,65.93,87.548,78.5,51,5.6,3
965.9,63.56,87.44,78.4,51,4.3,2
855.4,61.8,87.44,78.2,51,4.9,1
1018.3,56.56,84.956,75.4,51,3.8,1
1001.5,50.14,79.412,64.9,52,2.2,3
832.2,49.27,79.34,65.2,52,2.6,1
2533.1,66.87,85.514,74.2,52,4.6,3
1792.3,62.87,85.406,74.8,52,4,2
1332.7,66.59,81.878,59.7,52,5.2,2
1018.3,60.22,80.924,59.4,52,6.1,1
900.7,51.63,79.34,65.1,53,3.1,2
2406,81.69,88.952,77.3,54,5.1,3
1947.5,77.43,88.592,77.1,54,3.9,2
2193.3,60.25,84.74,70.4,54,3.4,4
1849.7,74.75,82.382,59.8,54,5.1,3
1114.9,49.18,79.286,62.4,55,4.2,2
861.3,50.77,80.798,68.5,55,4.6,1
1512.8,56.48,84.668,70.4,55,3,3
1057.9,52.53,84.344,70.7,55,1.8,2
892.4,50.89,84.092,71,55,2.4,1
3314.3,71.93,80.06,62.1,56,3.1,5
2377.2,64.05,79.988,62.7,56,4.9,4
3439.5,94.04,89.114,71.2,56,1.8,4
2708,84.64,89.114,71.1,56,1.4,3
1321,64.59,87.944,71,56,1.8,2
967.5,59.76,86.684,70.6,56,2.7,1
829.7,62.56,87.422,76.7,56,5.3,1
1571.3,54.82,79.646,61.9,57,3.9,3
1430.4,54.92,81.356,67.8,57,3.9,3
2722.8,67.27,87.422,71.3,57,3.7,4
1692.6,60.77,86.954,71.2,57,3.1,3
1089.3,55.12,86.342,71.2,57,1.8,2
918.7,52.99,85.73,71.4,57,1.7,1
2826.7,84.81,89.168,72.4,57,4.2,4
819.1,62.6,86.594,72.3,57,2.5,1
3383,69.25,81.878,68.2,58,2.7,5
1964.7,59.52,81.716,67.4,58,3.3,4
1029.3,51.83,81.014,68,58,4.1,2
1668.1,74.23,88.7,72.3,58,3,3
1016.4,65.57,87.476,72.1,58,2.3,2
2282.7,58.89,84.344,69,59,5,5
1826.9,57.16,84.2,68.3,60,4,4
1292.7,53.84,84.038,67.4,60,6.5,3
955.9,51.09,83.714,67.4,60,5.4,2
2509.4,68.84,84.344,69.4,60,2.4,6
849.6,50.97,83.426,67.9,61,4.4,1
3503.9,88.3,85.118,67.2,61,5.5,8
2855.3,83.6,85.244,67.4,61,6.5,7
2228.8,79.77,84.884,67.4,61,6.1,6
1874.2,76.08,84.578,67.6,61,5,5
972,63.39,83.462,66.8,61,3.4,2
863.8,61.44,83.156,67.1,61,4,1
817.5,57.74,85.154,68.3,61,3.1,1
844,53.775,83.93,68.1,61,2.1,1
1519.3,71.67,84.146,67.1,62,5.6,4
1173.5,66.89,83.804,66.9,62,4.9,3
1468.4,59.8,84.722,70.3,62,2.2,7
1351,59.53,84.488,70.3,62,2.9,6
1142.1,57.73,84.29,70.1,62,2.2,5
986.4,56.02,84.056,70.1,62,2.5,4
905.7,55.24,83.912,69.9,62,3.4,3
857.4,54.62,83.858,69.9,62,3.5,2
808.4,54.03,83.768,69.8,62,2.5,1
1139.4,64.93,85.91,67.8,63,2.4,2
1263.6,43.22,78.026,53.9,64,6.3,3
2047.1,57.39,82.04,56.8,64,4,3
870.6,52.6,80.582,64.1,64,1.6,1
2158.9,62.79,85.982,70.7,64,3,10
1957.3,61.85,85.478,70.5,64,2,9
999.5,41.02,77.72,53.4,65,5.7,2
2336.3,62.85,82.04,56.8,65,2.7,4
1196.4,44.63,80.888,56.5,65,3,2
1320.4,55.99,81.14,63.2,65,1.7,2
2383.6,62.4,82.04,62.7,65,5.9,9
891.8,41.05,79.682,56.3,66,2.3,1
1144.9,43.29,76.766,54.7,66,3.9,1
2442.2,99.15,84.902,60.6,66,4.8,6
2393.5,69.69,83.3,62.7,66,2.3,5
2251.8,70.32,83.948,62.8,66,2.6,4
1110.6,47.55,78.386,53.1,67,5.5,2
2841,63.81,78.152,54.5,67,3.1,3
2170.9,55.23,77.864,54.5,67,3,2
1739.6,93.15,84.56,60.3,67,4.8,5
1496.5,90.81,84.164,60,67,2.9,4
2444.7,62.52,81.392,52.9,68,2.1,4
2041.5,54.86,81.104,52.8,68,2,3
1146.9,41.29,79.97,52.8,68,2.9,2
870.5,37.48,79.034,52.8,68,0.8,1
1151.7,84.69,83.804,59.3,68,6.1,3
2645.5,64.17,81.464,62.2,68,2.4,3
1391.3,70.34,86.666,69.1,68,4.7,3
1099.7,66.7,86.216,69.6,68,2.3,2
955.2,64.53,85.766,69.9,68,2.5,1
1349.7,58.26,85.1,66.3,68,6.5,3
1054.8,56.59,85.082,66,68,5,2
885.3,55.14,84.938,65.6,68,6.7,1
1125.8,56.19,84.866,63.2,72,0.9,2
857.8333333,53.21666667,84.32,63.4,72,1.8,1
2437.3,53.14,77.378,52.8,73,0.9,3
3320.9,61.53,82.958,64.2,73,2.4,3
977.7,66.55,80.582,62,74,1.9,2
3745,89.12,85.73,69.4,74,3.7,6
1977.5,78.84,85.1,69.4,74,3.6,5
1311.9,72.26,84.2,69.4,74,2.6,4
1093.6,69.46,83.408,69.6,74,3.9,3
934.4,67.99,82.94,69.4,74,4.9,2
835.5,67.06,82.616,69.3,74,4.8,1
2796.9,83.9,81.5,61.8,75,2.1,5
2112.2,79.14,81.446,61.9,75,2.4,4
1283.6,71.14,80.996,62,75,1.5,3
805.1,63.72,80.114,62,75,1.6,1
1165.3,60.53,79.7,58.1,75,2.2,2
842.9,56.49,79.07,58.8,75,3.3,1
3249.9,84.87,80.78,57.9,76,2.2,4
1872.7,70.16,80.348,57.4,77,1.8,3
2150.6,62.01,82.76,60.3,80,2.9,3
2282.9,64.76,81.14,58,80,1.7,3
880.3,49.78,79.412,51.1,81,3,1
1483.5,57.33,82.598,60.1,81,3.4,2
856.6,52.25,81.86,60.1,81,2.3,1
1397.5,59.76,80.96,58,81,3.3,2
895.2,54.9,80.348,58,81,2.9,1
3752.4,69.54,80.636,50.7,82,3.3,4
2852,66.28,80.582,50.7,82,3,3
1431,54.77,80.114,50.9,82,2.9,2
2003.4,73.03,80.996,56.5,82,4.5,4
1393.1,66.64,80.834,56.4,83,3.9,3
1045.2,62,80.078,56.6,83,4.4,2
855.5,58.98,79.376,56.5,83,5.1,1
1425.6,61.32,80.474,60.6,85,2.6,3
1096.5,59.47,80.114,60.9,85,3.6,2
849.7,58.08,79.862,60.9,85,3,1
1134.9,59.63,85.226,60.1,85,2.8,1
2506.5,65.74,80.744,60.6,86,3.6,4
1770.1,80.4,84.416,60.2,86,3.7,3
1208.1,74.41,83.372,60.2,86,5.4,2
909.7,70.24,82.436,60.2,86,4.3,1
1937.9,85.29,86.162,65.4,86,4.7,4
1232.4,74.17,85.676,65.1,86,3.9,3
2350.6,74.24,83.822,60.3,86,2.8,4
819.4,58.71,81.23,60.3,86,3.1,1
2607.6,69.88,85.982,65.3,87,4.7,3
2214,68.25,85.91,65.5,87,4.2,2
1159.1,62.42,85.406,65.4,87,5.3,1
823.9,57.77,81.932,58.6,87,4,1
2783.5,88.33,84.92,60,87,3.9,4
1012.3,69.55,84.614,64.8,87,3.6,2