time,Eco2,TVOC,pm10_env,pm10_standard,PM2.5,pm25_standard,pm100_env,pm100_standard,tem,CO2,Humidity_in,Temp_in,Temp_out,Dew Point,Humidity_out,Wind,Wind Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
13/06/2021 21:00,421.7,368.9,10.2,10.2,13.8,13.8,14.4,14.4,30.4,521,52.42,86.72,73.9,55.5 °F,53,South,4.3,4.7 mph,30.35 in,0.00 in,0.00 in,0,10 w/m²
13/06/2021 21:05,502.3,410.2,10.9,10.9,14.4,14.4,14.5,14.5,30.4,542.8,52.89,86.72,73.7,55.1 °F,52,South,3.6,3.8 mph,30.35 in,0.00 in,0.00 in,0,7.7 w/m²
13/06/2021 21:10,579.7,451.6,11.1,11.1,14.1,14.1,14.1,14.1,30.41,585.6,53.38,86.738,73.7,55.0 °F,52,South,2.8,2.9 mph,30.34 in,0.00 in,0.00 in,0,6.2 w/m²
13/06/2021 21:15,638.8,486.6,10.7,10.7,13.9,13.9,14.3,14.3,30.49,631.1,53.85,86.882,73.3,54.6 °F,52,South,5.1,5.5 mph,30.34 in,0.00 in,0.00 in,0,4.7 w/m²
13/06/2021 21:20,681.3,510.8,9.9,9.9,13.1,13.1,13.9,13.9,30.5,678.3,54.35,86.9,73,54.3 °F,52,South,4.1,4.4 mph,30.35 in,0.00 in,0.00 in,0,3.5 w/m²
13/06/2021 21:25,724.3,531.9,10,10,13,13,13.5,13.5,30.5,710.9,54.78,86.9,73,53.8 °F,51,SSE,2.3,2.4 mph,30.35 in,0.00 in,0.00 in,0,2.4 w/m²
13/06/2021 21:30,760.3,551.2,10.6,10.6,13.6,13.6,13.6,13.6,30.5,748.7,55.18,86.9,72.8,53.2 °F,50,South,5.5,5.8 mph,30.35 in,0.00 in,0.00 in,0,1.5 w/m²
13/06/2021 21:35,785.8,569.8,9.9,9.9,12.8,12.8,12.9,12.9,30.5,795.2,55.57,86.9,72.6,52.8 °F,50,South,4.7,5.0 mph,30.35 in,0.00 in,0.00 in,0,1 w/m²
13/06/2021 21:40,821.6,589.3,10.5,10.5,13.6,13.6,13.6,13.6,30.5,831.1,55.98,86.9,72.5,52.6 °F,50,South,4.8,5.1 mph,30.35 in,0.00 in,0.00 in,0,0.6 w/m²
13/06/2021 21:45,847.4,598,10.1,10.1,13.4,13.4,13.5,13.5,30.5,861,56.24,86.9,72.3,52.5 °F,50,South,4.2,4.5 mph,30.35 in,0.00 in,0.00 in,0,0.2 w/m²
13/06/2021 21:50,880.1,613,10.3,10.3,13.7,13.7,13.9,13.9,30.5,944,56.86,86.9,72.2,52.4 °F,50,South,3.4,3.6 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 21:55,913.2,626.8,10.2,10.2,13,13,13,13,30.5,994.9,57.24,86.9,72.1,52.3 °F,50,South,4.1,4.3 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:00,925.1,640.9,9.9,9.9,13.1,13.1,13.5,13.5,30.5,1002.7,57.54,86.9,72,52.2 °F,50,South,4,4.3 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:05,949.5,652.8,9.6,9.6,12.4,12.4,12.8,12.8,30.5,1017.2,57.87,86.9,71.9,52.3 °F,50,South,2.8,2.9 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:10,980.6,669.2,9.7,9.7,12.6,12.6,12.8,12.8,30.5,1040.7,58.25,86.9,71.9,52.7 °F,51,SE,1.9,1.9 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:15,1003.5,682.9,9.4,9.4,12.7,12.7,12.8,12.8,30.49,1071.7,58.6,86.882,71.7,52.5 °F,51,South,2,2.0 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:20,1024.4,693.3,9.2,9.2,11.8,11.8,12,12,30.5,1113.7,59.38,86.9,71.6,52.6 °F,51,South,2.1,2.1 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:25,1045.1,705,9.4,9.4,11.9,11.9,11.9,11.9,30.5,1162.9,60.12,86.9,71.3,52.8 °F,52,South,2.7,2.8 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:30,1071.8,760.2,9.3,9.3,11.9,11.9,12,12,30.47,1187.4,60.43,86.846,71.2,52.7 °F,52,SSW,2.7,2.8 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:35,1096.7,817.2,8.9,8.9,11.6,11.6,11.7,11.7,30.5,1210.7,60.8,86.9,71,53.0 °F,53,SSE,2.2,2.3 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:40,1132.8,865,8.8,8.8,11.1,11.1,11.2,11.2,30.5,1246,61.28,86.9,70.8,52.8 °F,53,SW,1.5,1.5 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:45,1148.4,900.1,9.2,9.2,11.1,11.1,11.1,11.1,30.5,1276.8,61.51,86.9,70.7,52.8 °F,53,SSE,0,0.0 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:50,1172.5,943.4,8.5,8.5,10.6,10.6,10.6,10.6,30.49,1304.1,61.79,86.882,70.4,52.9 °F,54,SE,0.9,0.9 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 22:55,1189,993.4,8.7,8.7,11.1,11.1,11.3,11.3,30.49,1322.6,61.95,86.882,70.3,52.6 °F,54,SW,0.8,0.8 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:00,1210.2,1021.6,8.8,8.8,11,11,11.1,11.1,30.47,1344.2,62.08,86.846,70.3,52.8 °F,54,SW,1.5,1.5 mph,30.35 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:05,1225.2,1054.3,8.7,8.7,11.3,11.3,11.5,11.5,30.43,1362.9,62.17,86.774,70.3,52.8 °F,54,SSW,1.7,1.7 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:10,1236.8,1069.3,8.6,8.6,11.2,11.2,11.2,11.2,30.42,1395.4,62.45,86.756,70.3,52.8 °F,54,SSW,1.2,1.2 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:15,1257.4,1108,8.5,8.5,11,11,11.2,11.2,30.4,1426.5,62.68,86.72,70.2,52.8 °F,54,SSW,0.5,0.5 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:20,1278,1126,8.8,8.8,11,11,11.1,11.1,30.4,1451.2,62.99,86.72,69.8,52.8 °F,55,SSW,0,0.0 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:25,1289,1147.1,8.8,8.8,11.6,11.6,11.7,11.7,30.4,1483.3,63.1,86.72,69.6,52.7 °F,55,SSW,0,0.0 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:30,1295.6,1174.3,7.8,7.8,10.2,10.2,10.3,10.3,30.4,1502.3,63.09,86.72,69.4,52.5 °F,55,SSW,0.6,0.6 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:35,1302.3,1194.4,7.7,7.7,10.4,10.4,10.5,10.5,30.4,1520.4,63.09,86.72,69.4,52.5 °F,55,SSW,1,1.0 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:40,1313.1,1212.8,7.8,7.8,9.6,9.6,10.2,10.2,30.4,1543.4,63.1,86.72,69.4,52.5 °F,55,SSW,0.5,0.5 mph,30.34 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:45,1334.4,1235.4,8,8,10.3,10.3,10.5,10.5,30.4,1563,63.14,86.72,69.3,52.5 °F,55,SSW,0.5,0.5 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:50,1339.3,1268.1,7.8,7.8,10,10,10,10,30.4,1586.9,63.2,86.72,69.2,52.3 °F,55,SSW,0.5,0.5 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
13/06/2021 23:55,1345.3,1268.6,7.6,7.6,9.8,9.8,10.1,10.1,30.4,1609.3,63.24,86.72,69.4,52.5 °F,55,SSW,0.3,0.3 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:00,1365.9,1317.3,8,8,10.2,10.2,10.2,10.2,30.4,1636.5,63.37,86.72,69.3,52.6 °F,55,SSW,0,0.0 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:05,1376.1,1335.7,8,8,10.3,10.3,10.3,10.3,30.4,1668.2,63.66,86.72,69,52.2 °F,55,SSW,0.7,0.7 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:10,1422.5,1377.6,8.2,8.2,9.8,9.8,9.8,9.8,30.4,1691.3,63.93,86.72,69,52.7 °F,56,SSW,0,0.0 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:15,1433.2,1407.4,7.5,7.5,9.7,9.7,9.9,9.9,30.4,1717,64.19,86.72,68.8,52.6 °F,56,SSW,0.3,0.3 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:20,1443.2,1424.1,8,8,10,10,10,10,30.4,1735.5,64.48,86.72,68.8,52.5 °F,56,SSW,0.1,0.1 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:25,1447.2,1432.8,7.3,7.3,9.8,9.8,9.8,9.8,30.4,1760.4,64.62,86.72,68.8,52.8 °F,57,SSW,0.2,0.2 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:30,1468.1,1458.3,7.7,7.7,9.8,9.8,9.9,9.9,30.4,1782.3,64.75,86.72,68.7,52.3 °F,56,SSW,0.2,0.2 mph,30.33 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:35,1491.2,1466.9,7.7,7.7,9.9,9.9,10.3,10.3,30.4,1800.8,64.93,86.72,68.8,52.7 °F,56,SSW,0.2,0.2 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:40,1478.1,1459.2,7.4,7.4,9,9,9.2,9.2,30.4,1813,65,86.72,68.9,52.3 °F,55,SW,2.1,2.1 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:45,1477,1475.9,7.2,7.2,9.3,9.3,9.6,9.6,30.4,1805.6,65.08,86.72,69,52.4 °F,56,SSW,0.6,0.6 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:50,1500,1508.9,6.9,6.9,9.5,9.5,9.5,9.5,30.38,1822.2,65.51,86.684,68.7,52.7 °F,57,SSW,0.2,0.2 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 00:55,1520.9,1543.9,7.3,7.3,9,9,9.2,9.2,30.35,1870.2,65.97,86.63,68.5,52.5 °F,57,SSW,0.3,0.3 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:00,1543,1578.6,7.6,7.6,10,10,10,10,30.4,1911,66.36,86.72,68.3,52.7 °F,58,SSW,0.1,0.1 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:05,1556.4,1605.2,7.5,7.5,9,9,9,9,30.4,1945.6,66.7,86.72,68.1,52.7 °F,58,SSW,0,0.0 mph,30.32 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:10,1580.3,1631.4,7.6,7.6,9.7,9.7,9.7,9.7,30.4,1975.8,66.85,86.72,68,52.5 °F,58,SSW,0.2,0.2 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:15,1592.6,1636.6,7.3,7.3,9.8,9.8,9.8,9.8,30.39,2008.3,66.94,86.702,68.1,52.0 °F,56,SSW,1.5,1.5 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:20,1608.8,1650.4,7.6,7.6,11,11,11,11,30.4,2034.6,66.96,86.72,68.5,52.3 °F,56,SW,0.5,0.5 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:25,1637,1668.1,8,8,10.1,10.1,10.2,10.2,30.38,2065.4,67.08,86.684,68.2,52.5 °F,58,SW,0.1,0.1 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:30,1666.9,1689.4,7,7,8.8,8.8,8.9,8.9,30.38,2084.1,67.26,86.684,68,52.2 °F,57,SW,0.4,0.4 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:35,1684.3,1702.6,7.6,7.6,9.6,9.6,9.7,9.7,30.39,2114.1,67.4,86.702,68.3,52.1 °F,56,WSW,2.4,2.4 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:40,1725,1716.9,7.2,7.2,9.2,9.2,9.3,9.3,30.4,2138.9,67.58,86.72,68.7,52.4 °F,56,WSW,0.9,0.9 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:45,1741.6,1722.4,6.4,6.4,8.6,8.6,8.6,8.6,30.4,2166.2,67.83,86.72,68.4,52.6 °F,57,WSW,0.4,0.4 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:50,1784.5,1732.8,7,7,9.3,9.3,9.3,9.3,30.39,2186.8,68.18,86.702,68,52.8 °F,59,WSW,0.2,0.2 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 01:55,1815.3,1758.4,6.9,6.9,9.3,9.3,9.3,9.3,30.4,2213.1,68.55,86.72,67.5,52.8 °F,59,WSW,0,0.0 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:00,1874.2,1773.8,6.4,6.4,8.3,8.3,8.3,8.3,30.36,2232.7,68.75,86.648,67.2,52.8 °F,60,WSW,0,0.0 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:05,1840.5,1767.8,6.9,6.9,8.8,8.8,9,9,30.36,2244.9,68.82,86.648,67.1,52.7 °F,60,WSW,0.3,0.3 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:10,1838.3,1755,7,7,9.2,9.2,9.3,9.3,30.3,2230.6,68.84,86.54,67.2,52.8 °F,60,WSW,0.8,0.8 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:15,1876.3,1789.6,7.1,7.1,9,9,9,9,30.3,2218.4,68.95,86.54,67.2,53.0 °F,61,WSW,1.7,1.7 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:20,1916,1811.8,7.2,7.2,8.6,8.6,8.6,8.6,30.3,2226.2,68.95,86.54,67,53.1 °F,61,WSW,0.3,0.3 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:25,1943,1805.6,6.6,6.6,8.5,8.5,8.5,8.5,30.3,2251.6,68.95,86.54,66.5,53.1 °F,62,WSW,0,0.0 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:30,1942.2,1825.5,6.4,6.4,8.3,8.3,8.5,8.5,30.3,2280.7,68.91,86.54,66.3,53.0 °F,62,WSW,0.4,0.4 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:35,1933,1831.5,6.6,6.6,8.3,8.3,8.7,8.7,30.28,2319.2,68.98,86.504,66.4,53.0 °F,62,WSW,0.5,0.5 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:40,1947.2,1841.8,6.2,6.2,8,8,8,8,30.23,2330.9,69.11,86.414,66.3,53.1 °F,62,WSW,1.6,1.6 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:45,2002.4,1842.3,6.9,6.9,8.7,8.7,8.8,8.8,30.2,2353.2,69.21,86.36,66.4,53.2 °F,63,WSW,0.7,0.7 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:50,2026.8,1867.5,6.6,6.6,8,8,8.1,8.1,30.2,2375.8,69.35,86.36,66.3,53.3 °F,63,WSW,0.1,0.1 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 02:55,2161.5,1904.1,6,6,7.9,7.9,8,8,30.22,2398.6,69.61,86.396,66.2,53.2 °F,63,WSW,0.1,0.1 mph,30.31 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:00,2148.8,1902.2,6.3,6.3,8.3,8.3,8.7,8.7,30.21,2416.3,69.76,86.378,66.2,53.2 °F,63,WSW,0.6,0.6 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:05,2162.2,1907.3,6.5,6.5,7.9,7.9,7.9,7.9,30.21,2422.5,69.81,86.378,66.2,53.2 °F,63,WSW,0.4,0.4 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:10,2159.3,1927.9,6.6,6.6,8.4,8.4,8.4,8.4,30.21,2432.8,69.84,86.378,66,53.0 °F,63,WSW,0,0.0 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:15,2165.4,1930,6.1,6.1,8.1,8.1,8.2,8.2,30.2,2442.7,69.9,86.36,65.7,53.0 °F,64,SW,0.4,0.4 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:20,2183.8,1928.9,5.9,5.9,7.7,7.7,7.7,7.7,30.2,2447.1,69.97,86.36,65.8,52.6 °F,63,SSW,1.4,1.4 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:25,2173.5,1928.8,6.4,6.4,8.1,8.1,8.1,8.1,30.2,2453.9,70.07,86.36,66.3,52.8 °F,62,SW,1.2,1.2 mph,30.29 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:30,2173.5,1936.6,5.8,5.8,7.8,7.8,8,8,30.2,2456.2,70.16,86.36,66.5,53.1 °F,62,SW,0.8,0.8 mph,30.29 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:35,2188.2,1942.8,5.7,5.7,7.2,7.2,7.2,7.2,30.2,2465.3,70.21,86.36,66.3,53.0 °F,62,SW,1.7,1.7 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:40,2161.5,1942.5,6.1,6.1,7.9,7.9,8.1,8.1,30.2,2459.8,70.24,86.36,66.2,53.2 °F,63,SW,0.8,0.8 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
14/06/2021 03:45,2194,1932.1,6.3,6.3,7.8,7.8,7.9,7.9,30.17,2461.3,70.27,86.306,66.1,53.1 °F,63,SW,0.3,0.3 mph,30.30 in,0.00 in,0.00 in,0,0 w/m²
