time,eco2,TVOC,pm10_env,pm10_standard,pm25_env,pm25_standard,pm100_env,pm100_standard,tem,CO2,hum_in,tem_in,tem_out,Dew Point,hum_out,Wind,Speed,Gust,Pressure,Precip. Rate.,Precip. Accum.,UV,Solar
11/06/2021 21:10,400,131.5,6.8,6.8,8.6,8.6,8.8,8.8,29.1,477.4,49.77,84.38,69.6,57.3 °F,65,West,2.7,2.8 mph,30.22 in,0.00 in,0.00 in,0,5.5 w/m²
11/06/2021 21:15,400,289.7,7.2,7.2,9.4,9.4,9.4,9.4,29.13,508.6,50.73,84.434,69.5,57.3 °F,65,WSW,1.6,1.6 mph,30.22 in,0.00 in,0.00 in,0,4.3 w/m²
11/06/2021 21:20,400,311.5,8,8,10.6,10.6,10.9,10.9,29.26,559,51.49,84.668,69.4,57.3 °F,66,North,2,2.0 mph,30.22 in,0.00 in,0.00 in,0,3.2 w/m²
11/06/2021 21:25,429.1,377.3,7.2,7.2,9.2,9.2,9.3,9.3,29.38,609.2,52.04,84.884,69.2,57.6 °F,67,NW,1.8,1.8 mph,30.22 in,0.00 in,0.00 in,0,2.7 w/m²
11/06/2021 21:30,565.2,448,8,8,9.9,9.9,10.1,10.1,29.49,653.3,52.75,85.082,69,57.5 °F,67,NW,1.4,1.4 mph,30.22 in,0.00 in,0.00 in,0,2 w/m²
11/06/2021 21:35,624.6,493.9,7.4,7.4,9.4,9.4,9.6,9.6,29.59,702.2,53.24,85.262,69,58.0 °F,68,WNW,1.8,1.9 mph,30.23 in,0.00 in,0.00 in,0,1.3 w/m²
11/06/2021 21:40,687.4,536.6,8,8,10.4,10.4,10.6,10.6,29.63,752,53.78,85.334,69,58.1 °F,68,ENE,1.6,1.7 mph,30.23 in,0.00 in,0.00 in,0,0.7 w/m²
11/06/2021 21:45,743,578.3,7.5,7.5,10.1,10.1,10.1,10.1,29.7,807.7,54.36,85.46,68.9,58.3 °F,69,WSW,2.3,2.3 mph,30.23 in,0.00 in,0.00 in,0,0.5 w/m²
11/06/2021 21:50,794.5,612,7.8,7.8,9.8,9.8,10.1,10.1,29.71,855.4,54.8,85.478,68.7,58.2 °F,69,WNW,1.5,1.5 mph,30.23 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 21:55,838.7,643.2,7.3,7.3,9.1,9.1,9.3,9.3,29.78,908.5,55.27,85.604,68.6,58.0 °F,69,SE,1.3,1.3 mph,30.23 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:00,882.5,670.8,7.5,7.5,9.5,9.5,9.6,9.6,29.8,959,55.89,85.64,68.4,57.8 °F,69,NE,2.4,2.4 mph,30.23 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:05,973,806.9,7.5,7.5,9.1,9.1,9.2,9.2,29.8,1009.7,56.48,85.64,68.2,57.5 °F,69,NNE,2.4,2.4 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:10,1016.6,926,6.7,6.7,8.8,8.8,9.2,9.2,29.85,1063.9,57.15,85.73,68,57.2 °F,68,ENE,2.4,2.5 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:15,1036.9,995,7.4,7.4,9.7,9.7,9.9,9.9,29.86,1107.8,57.5,85.748,68,57.1 °F,68,,2.1,2.1 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:20,1066.6,1077.4,6.9,6.9,9.2,9.2,9.7,9.7,29.88,1142.4,57.8,85.784,67.8,57.1 °F,69,NNW,1.9,1.9 mph,30.23 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:25,1084.8,1150.7,6.2,6.2,8.7,8.7,8.9,8.9,29.89,1185.6,58.06,85.802,67.8,57.2 °F,69,North,2.5,2.6 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:30,1102.8,1212.6,7.5,7.5,9.4,9.4,9.4,9.4,29.89,1224.3,58.29,85.802,67.6,57.2 °F,69,NW,2.4,2.4 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:35,1123.3,1252,6.8,6.8,8.8,8.8,9.1,9.1,29.9,1256.5,58.57,85.82,67.6,57.2 °F,69,NNW,2.6,2.7 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:40,1149.1,1316.1,6.7,6.7,8.5,8.5,9.1,9.1,29.9,1288.9,58.85,85.82,67.6,57.2 °F,69,NNW,4.5,4.9 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:45,1167.4,1378.9,6.8,6.8,8.9,8.9,9.2,9.2,29.9,1330.9,59.22,85.82,67.3,56.9 °F,69,NNW,3.1,3.3 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:50,1194.6,1429.7,6.5,6.5,8.9,8.9,9,9,29.9,1362.1,59.53,85.82,67.2,56.9 °F,70,NW,1.1,1.1 mph,30.24 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 22:55,1217.3,1494.8,6.5,6.5,8.8,8.8,9,9,29.9,1395.4,59.79,85.82,67.1,57.0 °F,70,NW,2.4,2.5 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:00,1233.8,1543.4,6.6,6.6,9.2,9.2,9.4,9.4,29.9,1432.7,60.08,85.82,67.1,57.0 °F,70,NW,1.5,1.5 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:05,1255.4,1583.6,6.6,6.6,8.6,8.6,8.7,8.7,29.89,1464.1,60.37,85.802,67.1,57.0 °F,70,NW,2.1,2.1 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:10,1274,1637.9,6.6,6.6,8.6,8.6,9.1,9.1,29.9,1506.3,60.67,85.82,67,57.1 °F,70,NW,2,2.0 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:15,1294.2,1673,6.5,6.5,8.4,8.4,8.5,8.5,29.9,1546.2,60.89,85.82,66.9,57.1 °F,71,WSW,1.1,1.1 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:20,1313,1711.6,7.1,7.1,9.3,9.3,9.5,9.5,29.9,1580.8,60.98,85.82,66.9,57.2 °F,71,South,1.6,1.6 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:25,1331.5,1756.5,6.4,6.4,8.3,8.3,8.4,8.4,29.89,1619,61.24,85.802,66.9,57.2 °F,71,NW,2.1,2.1 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:30,1342.8,1790.4,5.5,5.5,7.3,7.3,7.3,7.3,29.9,1642.3,61.47,85.82,66.7,57.0 °F,71,North,1.8,1.8 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:35,1358.5,1818,5.9,5.9,7.4,7.4,7.8,7.8,29.9,1668.6,61.66,85.82,66.7,57.0 °F,71,WSW,2.1,2.1 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:40,1365.8,1833.7,6.1,6.1,8.1,8.1,8.1,8.1,29.9,1696.8,61.78,85.82,66.8,57.3 °F,72,SW,1.9,1.9 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:45,1381.4,1856.3,6.2,6.2,7.7,7.7,7.7,7.7,29.9,1726.6,61.92,85.82,66.7,57.3 °F,72,East,1.8,1.8 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:50,1397.5,1905.7,5.8,5.8,7.4,7.4,7.7,7.7,29.9,1760.7,62.13,85.82,66.6,57.5 °F,73,NE,1.2,1.2 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
11/06/2021 23:55,1413.3,1929.4,6,6,7.9,7.9,7.9,7.9,29.89,1802.7,62.32,85.802,66.5,57.5 °F,73,NW,2.2,2.3 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:00,1429.6,1958,6.3,6.3,7.7,7.7,7.8,7.8,29.9,1845.7,62.61,85.82,66.3,57.3 °F,73,NNW,2.6,2.6 mph,30.25 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:05,1448.8,1980,6,6,7.3,7.3,7.3,7.3,29.9,1884.4,62.93,85.82,66.3,57.5 °F,73,NE,2.1,2.1 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:10,1457.5,2019.2,5.5,5.5,7.2,7.2,7.3,7.3,29.9,1916.3,63.21,85.82,66.3,57.6 °F,74,NNW,3.2,3.4 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:15,1472.6,2043.6,5.5,5.5,7.2,7.2,7.3,7.3,29.9,1948,63.58,85.82,66.3,57.7 °F,74,NW,2.1,2.1 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:20,1489.4,2061.2,5.3,5.3,7.3,7.3,7.5,7.5,29.9,1986.1,63.95,85.82,66.2,57.5 °F,74,SW,1.8,1.8 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:25,1493.6,2072,5.7,5.7,7.4,7.4,7.4,7.4,29.9,2016,64.21,85.82,66,57.3 °F,74,NW,2.7,2.8 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:30,1483.8,2066.3,6.1,6.1,8.1,8.1,8.4,8.4,29.9,2007.4,64.4,85.82,65.8,57.6 °F,75,NW,2.3,2.4 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:35,1508.4,2095.2,5.6,5.6,7.7,7.7,8.2,8.2,29.89,1995.9,64.93,85.802,65.8,57.7 °F,75,NW,2.3,2.4 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:40,1536.8,2126.7,5.3,5.3,7.1,7.1,7.1,7.1,29.88,2026.6,65.67,85.784,65.8,57.7 °F,75,NNW,0.9,0.9 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:45,1554.6,2149.1,5.6,5.6,7.1,7.1,7.3,7.3,29.9,2070.7,66.11,85.82,65.8,57.7 °F,75,NNW,1.5,1.5 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:50,1585.4,2176.8,5.6,5.6,7.2,7.2,7.2,7.2,29.9,2104.1,66.34,85.82,65.6,57.6 °F,76,NW,1.3,1.3 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 00:55,1601.5,2190.4,5,5,7.4,7.4,7.4,7.4,29.9,2134.3,66.55,85.82,65.4,57.5 °F,76,West,2,2.0 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:00,1617.6,2183.3,5.5,5.5,6.9,6.9,7,7,29.89,2134.7,66.73,85.802,65.2,57.3 °F,76,North,1.8,1.8 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:05,1626.6,2206.3,5.1,5.1,6.6,6.6,7.3,7.3,29.85,2121.3,67.1,85.73,65.1,57.2 °F,76,NW,2.1,2.1 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:10,1679.9,2217.3,5.5,5.5,7.1,7.1,7.2,7.2,29.83,2152.8,67.48,85.694,64.9,57.0 °F,76,WSW,2.1,2.2 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:15,1764,2245.1,5.2,5.2,7,7,7.1,7.1,29.87,2191.2,67.96,85.766,64.7,56.9 °F,76,NW,1.5,1.5 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:20,1810.9,2257.9,5,5,7.2,7.2,7.3,7.3,29.87,2218,68.04,85.766,64.7,56.9 °F,76,SSW,1.4,1.4 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:25,25101.6,20221.5,6.6,6.6,8.6,8.6,9.1,9.1,29.86,2256.7,68.43,85.748,64.5,57.2 °F,77,West,2,2.0 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:30,57560.3,45876.2,32.2,45.4,47.1,64.8,57.4,67.7,29.77,2308.5,69.63,85.586,64.4,57.0 °F,77,NW,1.7,1.7 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:35,59455,45011.1,36.5,55.3,52.7,78.5,65.2,82.3,29.71,2351.3,69.8,85.478,64.1,56.8 °F,77,NW,2,2.0 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:40,57774.8,44439.4,36.5,54.9,54.3,81.2,66.2,84.3,29.77,2391.4,70.03,85.586,63.8,56.6 °F,78,NNW,2.4,2.4 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:45,55589.8,43329.7,35.1,52.7,52.8,78.5,64.9,81.9,29.8,2433.5,70.21,85.64,63.5,56.4 °F,78,NNW,2.7,2.7 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:50,53975,42402.8,30.7,41.2,47.7,65.3,58.6,68.2,29.8,2473.2,70.31,85.64,63.3,55.9 °F,77,NW,3.2,3.3 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 01:55,52355.1,41524.9,25.4,30.1,40.1,48.1,48.4,51,29.81,2505,70.3,85.658,63.3,55.9 °F,77,NW,2.6,2.6 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:00,50995.3,40696.7,21,22.1,32.1,33.9,35.4,35.4,29.85,2538.2,70.45,85.73,63.1,56.0 °F,78,NW,2.3,2.3 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:05,49862.5,39828.3,18.1,18.1,28.7,29.3,31.8,31.8,29.87,2582.3,70.7,85.766,63.1,55.9 °F,78,NNW,2.3,2.3 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:10,49055.1,39247.3,15.9,15.9,25.8,25.8,28,28,29.88,2612.8,70.81,85.784,62.9,55.6 °F,77,NNW,2.3,2.3 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:15,48391.5,38799.1,16.5,16.5,26.7,26.7,27.1,27.1,29.87,2624.5,70.93,85.766,62.9,55.3 °F,76,NW,2.2,2.2 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:20,47553.7,38224.1,14.8,14.8,23.1,23.1,24.6,24.6,29.87,2640,71.01,85.766,62.9,55.3 °F,76,NNW,1.9,1.9 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:25,45119.1,36700.7,15.6,15.6,26,26,27.5,27.5,29.88,2647.2,71,85.784,62.9,55.4 °F,77,NNW,1.9,1.9 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:30,43302.5,35551.1,14.4,14.4,21.3,21.3,21.9,21.9,29.87,2644.7,71.15,85.766,62.7,55.1 °F,76,WNW,1.7,1.7 mph,30.28 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:35,42709.6,35112.2,14.2,14.2,21.7,21.7,22.3,22.3,29.9,2671,71.31,85.82,62.7,54.8 °F,76,WNW,1.4,1.4 mph,30.28 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:40,42283.1,34728.9,13.4,13.4,20.9,20.9,21.6,21.6,29.9,2706,71.4,85.82,62.7,55.0 °F,76,NW,1.7,1.7 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:45,40103.4,33403.2,13.1,13.1,20.8,20.8,22.4,22.4,29.9,2707.8,71.49,85.82,62.6,54.8 °F,76,NW,1.6,1.6 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:50,39396.8,32732.6,13.3,13.3,20.2,20.2,20.8,20.8,29.9,2709.1,71.48,85.82,62.2,54.8 °F,77,NW,1.5,1.5 mph,30.27 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 02:55,38327.1,32031,12.9,12.9,20.6,20.6,21.6,21.6,29.87,2704.2,71.38,85.766,62,54.8 °F,78,NNW,1.3,1.3 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 03:00,37390.9,31493.1,11.9,11.9,18.6,18.6,19.6,19.6,29.8,2709.6,71.27,85.64,61.9,54.9 °F,78,NNE,1.4,1.4 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 03:05,37156.4,31088.3,12.4,12.4,18.3,18.3,20.1,20.1,29.83,2715.8,71.18,85.694,61.7,54.8 °F,78,NNW,1.8,1.8 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 03:10,36429.7,30717.5,11.7,11.7,18.6,18.6,20.2,20.2,29.81,2741.9,71.07,85.658,61.5,54.5 °F,78,NNW,1.5,1.5 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
12/06/2021 03:15,35970.4,30213.9,11.5,11.5,18.3,18.3,18.8,18.8,29.8,2765.2,71,85.64,61.3,54.3 °F,78,NNW,2,2.0 mph,30.26 in,0.00 in,0.00 in,0,0 w/m²
